epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.238704651594162,0.7612949013710022,1e-04,0.24275033175945282,0.7572494745254517
1,0.48475900292396545,0.5152410864830017,1e-04,0.47410842776298523,0.5258916020393372
2,0.5659986138343811,0.43400126695632935,1e-04,0.41749829053878784,0.5825016498565674
3,0.6120798587799072,0.3879202902317047,1e-04,0.6127525568008423,0.38724759221076965
4,0.647620439529419,0.3523796498775482,1e-04,0.4946746826171875,0.5053252577781677
5,0.6683325171470642,0.3316676616668701,1e-04,0.5811344981193542,0.41886547207832336
6,0.6968841552734375,0.30311575531959534,1e-04,0.5921963453292847,0.4078037738800049
7,0.6987115740776062,0.3012881875038147,1e-04,0.6215714812278748,0.37842857837677
8,0.7193643450737,0.2806357145309448,1e-04,0.6745155453681946,0.32548457384109497
9,0.7299270629882812,0.2700733244419098,1e-04,0.6547392010688782,0.3452606797218323
10,0.7461713552474976,0.2538294196128845,1e-04,0.7154092192649841,0.28459128737449646
11,0.7564700841903687,0.2435302585363388,1e-04,0.5787476897239685,0.4212523400783539
12,0.7574304342269897,0.24256965517997742,1e-04,0.7235801815986633,0.27641966938972473
13,0.7660696506500244,0.2339305579662323,1e-04,0.6697738170623779,0.33022618293762207
14,0.7760920524597168,0.2239082306623459,1e-04,0.3713134527206421,0.6286866068840027
15,0.7851802706718445,0.2148195207118988,1e-04,0.6974351406097412,0.30256494879722595
16,0.7905023694038391,0.20949746668338776,1e-04,0.690205454826355,0.3097943961620331
17,0.7895414233207703,0.210459366440773,1e-04,0.7194490432739258,0.2805505096912384
18,0.8174824714660645,0.18251709640026093,1e-05,0.7553380727767944,0.24466194212436676
19,0.8297854661941528,0.17021378874778748,1e-05,0.7601204514503479,0.23987948894500732
20,0.8362263441085815,0.16377361118793488,1e-05,0.7629783153533936,0.2370217740535736
21,0.841187596321106,0.15881220996379852,1e-05,0.7625212669372559,0.23747852444648743
22,0.8443338871002197,0.15566587448120117,1e-05,0.7606614232063293,0.2393387258052826
23,0.8469922542572021,0.1530076563358307,1e-05,0.7638593316078186,0.23614054918289185
24,0.852403461933136,0.1475965976715088,1e-05,0.7637966871261597,0.23620326817035675
25,0.8553045988082886,0.14469562470912933,1e-05,0.7673812508583069,0.23261886835098267
26,0.8579680323600769,0.14203214645385742,1e-05,0.7632002234458923,0.23679985105991364
27,0.8602596521377563,0.13974031805992126,1e-05,0.7663453817367554,0.23365475237369537
28,0.8625994920730591,0.13740092515945435,1e-05,0.7666694521903992,0.2333306521177292
29,0.8657090663909912,0.13429173827171326,1e-05,0.770655632019043,0.22934430837631226
30,0.8677528500556946,0.13224762678146362,1e-05,0.7646799683570862,0.23532012104988098
31,0.8685827255249023,0.13141724467277527,1e-05,0.766811192035675,0.23318859934806824
32,0.8720899224281311,0.12791064381599426,1e-05,0.7641904950141907,0.2358093559741974
33,0.8735638856887817,0.12643596529960632,1e-05,0.7688563466072083,0.2311432957649231
34,0.8744284510612488,0.12557101249694824,1e-05,0.7679687738418579,0.2320312112569809
35,0.8773502111434937,0.12264985591173172,1e-06,0.7683038711547852,0.2316962629556656
36,0.8786517977714539,0.12134800106287003,1e-06,0.7685477137565613,0.23145246505737305
37,0.8791779279708862,0.12082261592149734,1e-06,0.7689054608345032,0.23109446465969086
38,0.8796104192733765,0.12038949131965637,1e-06,0.7689973711967468,0.23100225627422333
39,0.8799766898155212,0.12002326548099518,1e-06,0.7704631090164185,0.22953686118125916
40,0.880448579788208,0.11955193430185318,1e-07,0.7704355120658875,0.2295646220445633
41,0.8805378675460815,0.11946263164281845,1e-07,0.7702967524528503,0.22970296442508698
42,0.8806081414222717,0.11939239501953125,1e-07,0.770159125328064,0.22984057664871216
43,0.8806670904159546,0.11933226138353348,1e-07,0.7700332999229431,0.22996699810028076
44,0.8807228207588196,0.11927717924118042,1e-07,0.7699403762817383,0.23005947470664978
45,0.8807738423347473,0.11922594159841537,1e-07,0.7698659896850586,0.23013408482074738
46,0.8808231949806213,0.11917724460363388,1e-07,0.7697953581809998,0.2302045077085495
47,0.8808704018592834,0.11912951618432999,1e-07,0.7697443962097168,0.23025572299957275
48,0.8809177279472351,0.11908240616321564,1e-07,0.7697041034698486,0.2302958369255066
49,0.8809638619422913,0.11903635412454605,1e-07,0.769656240940094,0.23034405708312988
